CP_List,START,END
CP-C1,-2.0,7.499950481146238
CP-C2,-2.0,7.499950481146238
CP-C3,-2.0,7.499950481146238
CP-C4,-2.0,7.499950481146238
CP-Y1,-2.0,7.499950481146238
CP-A1,0.0,1.4861108333333333
CP-A2,2.486110833333333,8.9527291277181
CP-A3,1.4861108333333333,2.486110833333333
CP-M1,0.0,6.999951349940322
CP-M2,0.0,1.9999860999829493
CP-M3,1.9527777777777782,4.452760402756465
CP-M4,1.9527777777777782,3.9527638777607272
CP-M5,1.9527777777777782,6.452746502739414
CP-P1,0.0,4.49997654370085
CP-P2,4.49997654370085,5.499971331189927
CP-E1,1.9527777777777782,8.9527291277181
CP-E2,1.9527777777777782,8.9527291277181
CP-E3,1.9527777777777782,8.9527291277181
CP-E4,1.9527777777777782,3.9527638777607272
CP-E5,1.9527777777777782,3.9527638777607272
CP-S1,1.9527777777777782,10.4527291277181
