YEAR,2025USD
2000,0.5396427452209338
2001,0.5549984330930742
2002,0.5637731118771545
2003,0.5766217486681291
2004,0.5919774365402695
2005,0.6120338451895957
2006,0.6317768724537762
2007,0.6496396114070824
2008,0.6747101222187402
2009,0.6722030711375744
2010,0.6834848010028204
2011,0.7047947351927295
2012,0.7195236602945785
2013,0.730178627389533
2014,0.7417737386399247
2015,0.7427138827953619
2016,0.7521153243497336
2017,0.7680977749921654
2018,0.7869006581009087
2019,0.801316201817612
2020,0.8110310247571294
2021,0.8489501723597617
2022,0.9172673143215292
2023,0.9696020056408647
2024,0.9890316515198997
2025,1.0
